PC1,PC2,Cluster
-734.1177,36.11493,7
-790.8823,73.132996,7
2829.6414,5340.819,3
-2053.3013,-515.3021,0
-1600.462,-618.5054,0
-2583.0312,-520.96155,0
8781.585,1689.8435,5
-920.376,53.544678,7
-2076.5073,-277.9126,0
-1262.4314,-279.0298,7
-2574.0127,-521.7763,0
19308.574,-960.99225,1
18028.834,-921.4293,1
-2597.8928,-574.0022,0
-2201.951,-383.07062,0
-2821.5518,-665.346,0
-2460.4648,-460.10242,0
-2557.2302,-549.6698,0
1065.5442,1501.1387,3
-1683.273,-140.48352,0
-406.7356,-50.752197,7
-2201.3538,-380.13068,0
-2305.2332,-424.3319,0
-2639.6116,-553.35175,0
-2083.3247,-326.5498,0
1823.9768,3082.8123,3
-1547.9738,-212.85876,0
-2492.6587,-533.20105,0
-58.166016,274.31268,7
-926.0708,115.927124,7
-2082.9648,-596.02747,0
4043.6257,16.54657,3
-348.364,5.734009,7
-2885.8823,-665.57324,0
-2825.8098,-646.1284,0
-138.83398,261.12323,7
1863.3542,781.9228,3
-2405.9282,-452.86237,0
-2801.6716,-642.82007,0
-956.84985,-366.58862,7
-1572.9926,-185.31793,0
-2377.9648,-415.667,0
-2835.0288,-646.30255,0
1024.7297,1352.3,3
22709.238,-1028.353,1
987.0432,371.19598,7
7361.748,1511.9475,5
-2207.2979,-761.5317,0
-1918.286,-292.71387,0
34799.074,-2837.4429,6
-2456.3174,-580.3318,0
5607.8975,1066.1807,5
-2673.6208,-580.11694,0
-2889.2207,-666.9359,0
-2555.2256,-534.7828,0
2443.404,954.9074,3
484.5984,504.86945,7
-2892.4058,-682.6157,0
-1920.1725,-266.8504,0
-2012.7545,-531.7025,0
-2624.9968,-652.16797,0
-1076.3196,44.383118,7
9427.743,-529.2226,5
-2037.7863,-378.6526,0
-1788.6995,-684.38214,0
539.00073,335.66095,7
-2420.3853,-564.21014,0
-2577.81,-545.48914,0
-2050.4045,-335.28735,0
11145.815,1769.7175,5
-1863.2828,-197.76947,0
-555.75977,-9.265564,7
368.18896,813.2375,7
-1034.4971,-369.21564,7
236.85449,527.69244,7
-319.99194,-376.60306,7
-1237.9581,-32.986145,7
693.8423,565.4218,7
-1013.5647,-410.20944,7
8114.797,-185.99438,5
-2126.2612,-755.5994,0
27453.848,833.3859,6
-2036.5299,-287.07855,0
639.54126,865.24786,7
-1969.1139,-709.97723,0
5179.5967,1203.157,3
-2281.7798,-645.4299,0
4621.2744,1081.8665,3
-2104.882,-742.6014,0
-1284.163,-532.7919,0
2095.6902,825.5479,3
-1100.603,-421.07852,7
-1592.0667,-622.2851,0
-1284.3114,-509.28583,0
1023.2307,1427.0923,3
-1351.2698,-83.43463,0
-2161.2373,-760.7271,0
-1615.4893,-620.53345,0
3129.244,1025.7876,3
1231.4841,1746.0647,3
691.0952,561.97406,7
-1258.2715,-7.3880615,7
-471.89722,80.84247,7
-2404.1953,-464.41486,0
-2325.821,-425.194,0
1528.9329,768.21967,3
-1680.6085,-648.17633,0
-2572.2964,-538.4396,0
-626.6262,-182.68793,7
174.08374,347.5202,7
-2884.3516,-678.1294,0
-1683.6566,-202.64838,0
1142.8425,1856.8821,3
786.2886,1228.2876,3
-339.05273,15.018555,7
-356.63257,151.29669,7
-2814.6172,-641.26526,0
-2878.6694,-680.295,0
16306.543,-724.6146,1
-1132.3457,-0.3373413,7
-2658.5015,-575.99677,0
978.698,531.0384,7
60.470215,466.55707,7
-2853.665,-647.62787,0
5717.1436,1071.4814,5
-217.03174,336.1629,7
-2045.105,-334.31097,0
-1718.6041,-409.8382,0
1917.3347,3091.389,3
-2819.1821,-658.7177,0
-2178.0176,-380.78665,0
-2689.7585,-599.27277,0
-455.15674,-117.5202,7
-452.45898,307.45782,7
-1217.623,-118.73309,7
-1723.8055,-184.2909,0
-1248.2107,-477.8101,0
